,ticker,date,trade
665,CSR,2023-04-04,
666,CSTL,2023-04-04,
667,CSTR,2023-04-04,
668,CSV,2023-04-04,
669,CSWC,2023-04-04,
670,CSWI,2023-04-04,
671,CSX,2023-04-04,
672,CTAS,2023-04-04,
673,CTBI,2023-04-04,
674,CTG,2023-04-04,
675,CTGO,2023-04-04,
676,CTKB,2023-04-04,
677,CTLP,2023-04-04,
678,CTLT,2023-04-04,
679,CTO,2023-04-04,
680,CTOS,2023-04-04,
681,CTRA,2023-04-04,
682,CTRE,2023-04-04,
683,CTRN,2023-04-04,
684,CTS,2023-04-04,
685,CTSH,2023-04-04,
686,CTVA,2023-04-04,
687,CUBE,2023-04-04,
688,CUBI,2023-04-04,
689,CUEN,2023-04-04,
690,CULL,2023-04-04,
691,CULP,2023-04-04,
692,CUTR,2023-04-04,0.0
693,CUZ,2023-04-04,
694,CVBF,2023-04-04,
695,CVCO,2023-04-04,
696,CVCY,2023-04-04,
697,CVEO,2023-04-04,
698,CVGI,2023-04-04,
699,CVGW,2023-04-04,
700,CVI,2023-04-04,
701,CVLG,2023-04-04,
702,CVLT,2023-04-04,
703,CVLY,2023-04-04,0.0
704,CVNA,2023-04-04,
705,CVR,2023-04-04,
706,CVRX,2023-04-04,
707,CVS,2023-04-04,
708,CVT,2023-04-04,
709,CVV,2023-04-04,
710,CVX,2023-04-04,
711,CW,2023-04-04,
712,CWAN,2023-04-04,
713,CWBC,2023-04-04,
714,CWCO,2023-04-04,
715,CWEN,2023-04-04,
716,CWH,2023-04-04,
717,CWK,2023-04-04,
718,CWST,2023-04-04,
719,CWT,2023-04-04,
720,CXM,2023-04-04,
721,CXW,2023-04-04,
722,CYRX,2023-04-04,
723,CYTK,2023-04-04,
724,CZFS,2023-04-04,
725,CZNC,2023-04-04,
726,CZR,2023-04-04,
727,CZWI,2023-04-04,
728,D,2023-04-04,
729,DAKT,2023-04-04,
730,DAL,2023-04-04,
731,DAN,2023-04-04,
732,DAR,2023-04-04,
733,DASH,2023-04-04,0.0
734,DAVE,2023-04-04,0.0
735,DAWN,2023-04-04,
736,DBI,2023-04-04,
737,DBRG,2023-04-04,
738,DCGO,2023-04-04,
739,DCI,2023-04-04,
740,DCO,2023-04-04,
741,DCOM,2023-04-04,
742,DCP,2023-04-04,
743,DCPH,2023-04-04,
744,DD,2023-04-04,0.0
745,DDD,2023-04-04,
746,DDOG,2023-04-04,
747,DDS,2023-04-04,
748,DE,2023-04-04,
749,DEA,2023-04-04,
750,DECK,2023-04-04,
751,DEI,2023-04-04,
752,DEN,2023-04-04,
753,DFH,2023-04-04,
754,DFIN,2023-04-04,
755,DFS,2023-04-04,0.0
756,DG,2023-04-04,
757,DGICA,2023-04-04,
758,DGII,2023-04-04,
759,DGX,2023-04-04,
760,DH,2023-04-04,
761,DHI,2023-04-04,
762,DHIL,2023-04-04,
763,DHR,2023-04-04,
764,DICE,2023-04-04,
765,DINO,2023-04-04,0.0
766,DIOD,2023-04-04,
767,DIS,2023-04-04,
768,DISH,2023-04-04,
769,DIT,2023-04-04,
770,DJCO,2023-04-04,
771,DK,2023-04-04,
772,DKNG,2023-04-04,
773,DKS,2023-04-04,
774,DLA,2023-04-04,
775,DLB,2023-04-04,
776,DLHC,2023-04-04,
777,DLR,2023-04-04,
778,DLTH,2023-04-04,
779,DLTR,2023-04-04,
780,DLX,2023-04-04,
781,DMLP,2023-04-04,
782,DMRC,2023-04-04,
783,DNB,2023-04-04,
784,DNLI,2023-04-04,
785,DNOW,2023-04-04,
786,DNUT,2023-04-04,
787,DO,2023-04-04,
788,DOC,2023-04-04,
789,DOCN,2023-04-04,0.0
790,DOCS,2023-04-04,
791,DOCU,2023-04-04,
792,DOOR,2023-04-04,
793,DORM,2023-04-04,
794,DOV,2023-04-04,
795,DOW,2023-04-04,
796,DRH,2023-04-04,
797,DRI,2023-04-04,
798,DRQ,2023-04-04,
799,DRVN,2023-04-04,
800,DSEY,2023-04-04,
801,DSGN,2023-04-04,
802,DSGR,2023-04-04,
803,DSKE,2023-04-04,
804,DT,2023-04-04,
805,DTC,2023-04-04,
806,DTE,2023-04-04,
807,DTM,2023-04-04,
808,DUK,2023-04-04,
809,DUOL,2023-04-04,
810,DV,2023-04-04,
811,DVA,2023-04-04,
812,DVAX,2023-04-04,
813,DVN,2023-04-04,
814,DX,2023-04-04,0.0
815,DXC,2023-04-04,
816,DXCM,2023-04-04,
817,DXLG,2023-04-04,
818,DXPE,2023-04-04,
819,DY,2023-04-04,
820,DYN,2023-04-04,
821,DZSI,2023-04-04,
822,EA,2023-04-04,
823,EARN,2023-04-04,0.0
824,EB,2023-04-04,
825,EBAY,2023-04-04,
826,EBC,2023-04-04,
827,EBF,2023-04-04,
828,EBIX,2023-04-04,
829,EBMT,2023-04-04,
830,EBS,2023-04-04,0.0
831,EBTC,2023-04-04,
832,ECL,2023-04-04,
833,ECOR,2023-04-04,0.0
834,ECPG,2023-04-04,
835,ECVT,2023-04-04,
836,ED,2023-04-04,
837,EDIT,2023-04-04,0.0
838,EDR,2023-04-04,
839,EEFT,2023-04-04,
840,EFC,2023-04-04,
841,EFSC,2023-04-04,
842,EFX,2023-04-04,
843,EGAN,2023-04-04,
844,EGBN,2023-04-04,
845,EGLE,2023-04-04,
846,EGP,2023-04-04,
847,EGRX,2023-04-04,
848,EGY,2023-04-04,
849,EHC,2023-04-04,
850,EHTH,2023-04-04,
851,EIG,2023-04-04,0.0
852,EIX,2023-04-04,
853,EL,2023-04-04,
854,ELA,2023-04-04,
855,ELAN,2023-04-04,
856,ELF,2023-04-04,
857,ELMD,2023-04-04,
858,ELME,2023-04-04,
859,ELS,2023-04-04,
860,ELV,2023-04-04,
861,ELVN,2023-04-04,
862,EME,2023-04-04,
863,EML,2023-04-04,
864,EMN,2023-04-04,
865,EMR,2023-04-04,
866,ENB,2023-04-04,
867,ENFN,2023-04-04,
868,ENLC,2023-04-04,
869,ENOV,2023-04-04,
870,ENPH,2023-04-04,
871,ENR,2023-04-04,
872,ENS,2023-04-04,
873,ENSG,2023-04-04,
874,ENTA,2023-04-04,
875,ENTG,2023-04-04,
876,ENV,2023-04-04,
877,ENVA,2023-04-04,
878,ENVX,2023-04-04,
879,EOG,2023-04-04,
880,EOLS,2023-04-04,
881,EP,2023-04-04,
882,EPAC,2023-04-04,
883,EPAM,2023-04-04,
884,EPC,2023-04-04,
885,EPD,2023-04-04,
886,EPM,2023-04-04,
887,EPR,2023-04-04,
888,EPRT,2023-04-04,
889,EPSN,2023-04-04,
890,EQBK,2023-04-04,
891,EQC,2023-04-04,
892,EQH,2023-04-04,
893,EQIX,2023-04-04,
894,EQR,2023-04-04,
895,EQT,2023-04-04,
896,ERIE,2023-04-04,
897,ERII,2023-04-04,
898,ES,2023-04-04,
899,ESCA,2023-04-04,
900,ESE,2023-04-04,
901,ESGR,2023-04-04,0.0
902,ESI,2023-04-04,
903,ESMT,2023-04-04,
904,ESNT,2023-04-04,
905,ESP,2023-04-04,
